epoch,steps,syncs,accuracy,loss,time,exper_id
1,234,234,0.9832000136375428,0.05297577008605,82.6741533279419,8
2,468,468,0.9905999898910522,0.030011523514986,163.19279170036316,8
3,702,702,0.9919999837875366,0.0264504700899124,244.0656020641327,8
4,937,937,0.9923999905586244,0.0245740693062543,325.4822700023651,8
5,1171,1171,0.9937000274658204,0.0218313336372375,406.48687624931335,8
6,1405,1405,0.9940000176429749,0.0191755089908838,487.2371115684509,8
7,1639,1639,0.9929999709129332,0.0236202105879783,568.612401008606,8
8,1874,1874,0.9922000169754028,0.0259254332631826,650.1573379039764,8
9,2108,2108,0.9943000078201294,0.0196739230304956,730.9665770530701,8
10,2342,2342,0.9923999905586244,0.027014659717679,812.3370132446289,8
1,58,19,0.96069997549057,0.1259353905916214,29.018510103225708,9
2,116,31,0.9847999811172484,0.0501261129975318,54.26693511009216,9
