epoch,steps,syncs,accuracy,loss,time,exper_id
1,234,234,0.932699978351593,0.2265727072954177,7.890753507614136,4
2,468,468,0.9603000283241272,0.1397153735160827,14.57057237625122,4
3,702,702,0.9700000286102296,0.1002830490469932,21.22917079925537,4
4,937,937,0.973900020122528,0.0845629796385765,27.91331052780152,4
5,1171,1171,0.977299988269806,0.071019023656845,34.67141771316528,4
6,1405,1405,0.9789000153541564,0.0667868554592132,41.29726409912109,4
7,1639,1639,0.9804999828338624,0.0627053454518318,48.00870108604431,4
8,1874,1874,0.982699990272522,0.0534593090415,54.62166976928711,4
9,2108,2108,0.984000027179718,0.049991987645626,61.301164388656616,4
10,2342,2342,0.9847999811172484,0.0468047298491001,67.9696433544159,4
1,234,15,0.9300000071525574,0.2303799092769622,8.691693544387817,5
2,468,22,0.9516000151634216,0.1541717946529388,16.06585192680359,5
3,702,28,0.9610999822616576,0.1250121146440506,22.84708404541016,5
4,937,34,0.9689000248908995,0.1037160009145736,29.557866096496586,5
5,1171,40,0.9764000177383424,0.077695608139038,36.31940913200378,5
6,1405,44,0.9771000146865844,0.0732691064476966,43.08045911788941,5
7,1639,49,0.9764999747276306,0.0765113532543182,49.9020586013794,5
8,1874,55,0.9819999933242798,0.058743443340063,56.71958327293396,5
9,2108,59,0.98089998960495,0.0630894154310226,63.5601704120636,5
10,2342,64,0.9825000166893004,0.0565347298979759,70.35486030578613,5
1,234,234,0.9347000122070312,0.2248499095439911,7.971904993057251,6
2,468,468,0.9588000178337096,0.1366694122552871,14.577703475952148,6
3,702,702,0.968500018119812,0.1071968525648117,21.138482093811035,6
4,937,937,0.9722999930381776,0.0837560296058654,27.82966899871826,6
5,1171,1171,0.9782000184059144,0.0701097398996353,34.47014927864075,6
6,1405,1405,0.9799000024795532,0.065103568136692,41.161922454833984,6
7,1639,1639,0.9805999994277954,0.0620857924222946,47.885385274887085,6
8,1874,1874,0.9817000031471252,0.0564728714525699,54.57474207878113,6
9,2108,2108,0.9829000234603882,0.0511763952672481,61.25613641738892,6
10,2342,2342,0.984499990940094,0.0518989637494087,67.87451529502869,6
1,234,14,0.9314000010490416,0.2303073704242706,8.551555395126343,7
2,468,21,0.9555000066757202,0.1501941680908203,15.867311954498293,7
3,702,26,0.9653000235557556,0.1174388900399208,22.64918327331543,7
4,937,32,0.9742000102996826,0.0871578007936477,29.41890525817871,7
5,1171,36,0.9763000011444092,0.0802451744675636,36.09926891326904,7
6,1405,41,0.9757999777793884,0.0784182250499725,42.83257818222046,7
7,1639,46,0.978600025177002,0.0661219656467437,49.63596534729004,7
8,1874,51,0.9818000197410583,0.0555880740284919,56.333478689193726,7
9,2108,56,0.9830999970436096,0.0539991334080696,63.04767060279846,7
10,2342,61,0.9830999970436096,0.0499062426388263,69.7914445400238,7
1,234,234,0.9318000078201294,0.2292286157608032,7.921762704849243,8
2,468,468,0.9610000252723694,0.1330094337463379,14.688683986663818,8
3,702,702,0.9718999862670898,0.0934002548456192,21.36302375793457,8
4,937,937,0.977299988269806,0.0745978727936744,28.05453062057495,8
5,1171,1171,0.9803000092506408,0.063183456659317,34.77260780334473,8
6,1405,1405,0.9807000160217284,0.0583488158881664,41.4669508934021,8
7,1639,1639,0.9828000068664552,0.0508525818586349,48.20756554603577,8
8,1874,1874,0.983299970626831,0.0499694533646106,54.83946657180786,8
9,2108,2108,0.9847000241279602,0.0451397001743316,61.461994647979736,8
10,2342,2342,0.9850999712944032,0.0471740588545799,68.16208362579346,8
1,234,15,0.9259999990463256,0.2477386444807052,8.521190881729126,9
