epoch,steps,syncs,accuracy,loss,time,agg_time,norm_time,exper_id
1,117,8,0.888700008392334,0.3893756568431854,4.099127292633057,0.3712358474731445,0.3175110816955566,2
2,234,11,0.9182000160217284,0.2723089456558227,7.686360597610474,0.5952231884002686,0.5464484691619873,2
3,351,14,0.9312999844551086,0.2276168465614318,11.25649070739746,0.8348817825317383,0.77018141746521,2
4,468,16,0.942900002002716,0.1837480366230011,14.81935739517212,1.0550222396850586,0.9885377883911132,2
5,585,18,0.9539999961853028,0.1593031734228134,18.368814706802368,1.281747579574585,1.2058484554290771,2
6,702,21,0.9614999890327454,0.1286857277154922,21.88651752471924,1.4738187789916992,1.4243040084838867,2
7,820,23,0.9667999744415284,0.1106454953551292,25.46682357788086,1.6839005947113037,1.642035961151123,2
8,937,25,0.9682999849319458,0.1048785373568534,28.956552267074585,1.8516640663146973,1.8551712036132808,2
9,1054,27,0.9678000211715698,0.1065813973546028,32.44929909706116,2.036331415176392,2.06919002532959,2
10,1171,29,0.9707000255584716,0.0953919738531112,35.95900201797485,2.191989183425904,2.281803607940674,2
11,1288,31,0.9703999757766724,0.0956408306956291,39.43158268928528,2.367990255355835,2.4989044666290283,2
12,1405,33,0.9706000089645386,0.0922420695424079,42.92734885215759,2.518315315246582,2.7156803607940674,2
13,1523,35,0.973200023174286,0.0849171504378318,46.43716049194336,2.671421527862549,2.932839870452881,2
14,1640,37,0.9757000207901,0.0765152126550674,49.912593841552734,2.8277783393859863,3.145167827606201,2
15,1757,39,0.9735000133514404,0.0768524408340454,53.39810562133789,2.994596004486084,3.365161657333374,2
16,1874,41,0.97680002450943,0.0711104571819305,56.86648535728455,3.179118394851685,3.5804357528686523,2
17,1991,43,0.979200005531311,0.064989723265171,60.34301042556763,3.333607912063598,3.794527053833008,2
18,2108,45,0.9824000000953674,0.0557371750473976,63.83180379867554,3.4954657554626465,4.007357120513916,2
19,2226,47,0.9786999821662904,0.0625262483954429,67.32681369781494,3.6709277629852295,4.221621990203857,2
20,2343,49,0.9822999835014344,0.0563483461737632,70.77670741081238,3.851241588592529,4.438095569610596,2
1,117,9,0.8907999992370605,0.3667020797729492,3.424483299255371,0.0031139850616455,0.0005531311035156,3
2,234,12,0.9189000129699708,0.2827220857143402,5.391324281692505,0.0034394264221191,0.0011160373687744,3
3,351,15,0.9325000047683716,0.2242818921804428,7.320770502090454,0.0037691593170166,0.0017035007476806,3
